 ,Area,Mean,Min,Max,Angle,Length
1,339.525,142.815,8.299E-12,195.363,-89.542,101.795
2,275.864,160.077,120.000,194.000,-90.000,81.433
3,297.085,158.214,126.000,192.000,-90.000,87.948
4,328.915,160.194,121.000,200.000,-90.000,97.720
5,286.474,157.074,113.000,201.000,-90.000,84.690
6,350.135,159.879,130.000,192.000,-90.000,104.234
7,318.305,160.400,129.000,193.000,-90.000,94.462
8,307.695,149.379,0.000,193.000,-90.000,91.205
9,318.305,149.006,0.000,255.000,-88.025,94.519
10,307.695,146.345,0.000,185.000,-90.000,91.205
11,328.915,148.581,0.000,255.000,-90.000,97.720
12,339.525,149.219,0.000,255.000,-90.000,100.977
13,318.305,153.613,0.000,255.000,-88.025,94.519
